dealer_id,price,stock,delivery_days,rating,fulfilled_on_time
1,21.28,114,4,2.7,1
1,33.99,40,5,3.4,0
1,40.26,743,4,2.9,1
1,41.52,838,5,2.9,1
1,34.02,294,5,3.9,1
1,19.17,109,4,3.5,1
1,16.96,480,3,3.1,1
1,39.84,859,3,2.8,1
1,23.65,81,5,3.3,1
1,18.59,248,5,3.0,1
1,52.53,176,4,3.4,1
1,57.15,673,5,3.4,1
1,26.02,483,3,3.9,0
1,40.06,711,4,3.7,1
1,51.98,834,4,3.5,1
1,57.43,907,4,3.0,1
1,54.81,668,4,3.3,1
1,40.26,279,4,2.9,0
1,31.29,151,4,3.2,1
1,19.93,652,5,3.6,0
1,32.31,620,5,3.2,0
1,53.74,21,4,3.1,0
1,48.79,797,4,3.1,1
1,35.42,986,4,2.8,0
1,49.29,529,6,2.9,1
1,43.75,633,5,3.5,1
1,57.91,954,4,3.2,1
1,15.88,961,3,3.9,0
1,25.78,256,6,2.7,1
1,36.87,80,5,3.2,1
1,44.69,979,4,3.2,0
1,34.04,226,5,3.0,0
1,47.08,418,5,3.2,1
1,38.29,133,4,3.4,1
1,39.93,612,4,3.4,0
1,25.3,937,5,3.3,1
1,27.53,507,4,3.4,0
1,40.7,494,4,3.6,1
1,19.24,684,4,3.4,1
1,47.81,699,4,2.9,1
1,47.77,829,5,3.1,1
1,35.19,442,5,3.5,0
1,18.39,837,5,3.0,1
1,59.97,866,5,3.3,0
1,25.64,426,4,3.3,1
1,17.64,398,5,3.2,0
1,50.33,302,3,3.6,0
1,40.01,745,4,3.3,1
1,17.63,763,3,3.1,1
1,41.29,524,5,3.1,1
2,45.38,250,3,3.1,1
2,41.05,50,4,2.5,1
2,38.53,967,4,3.1,1
2,26.95,144,4,2.5,1
2,48.83,84,5,2.7,1
2,19.5,560,4,2.9,0
2,54.64,910,4,2.9,1
2,39.44,319,3,2.1,0
2,15.35,846,3,2.5,1
2,54.52,280,4,2.8,1
2,27.26,629,4,3.0,0
2,53.38,527,3,2.7,0
2,19.15,443,4,2.6,1
2,20.89,278,5,3.0,0
2,40.24,124,6,3.0,0
2,39.55,864,4,3.0,1
2,16.88,383,5,2.4,0
2,55.45,225,4,2.3,1
2,40.19,905,3,2.9,1
2,56.84,895,5,3.1,1
2,33.55,193,4,2.4,0
2,51.1,894,4,2.5,1
2,46.56,401,5,2.3,1
2,51.75,481,3,3.1,0
2,25.03,685,4,2.9,0
2,58.51,295,4,3.0,0
2,52.96,349,5,2.6,0
2,23.04,995,4,2.7,1
2,30.56,815,4,3.1,1
2,32.33,600,4,2.8,1
2,38.4,835,3,2.6,0
2,45.18,382,3,3.0,0
2,43.04,689,5,2.3,1
2,28.92,428,4,3.1,1
2,23.63,690,5,2.5,0
2,42.7,318,3,3.0,1
2,24.46,814,3,2.5,1
2,34.9,228,3,2.6,0
2,48.12,684,5,2.9,1
2,30.08,848,5,2.6,1
2,51.3,160,5,2.7,1
2,53.24,84,3,2.9,1
2,47.33,403,4,2.7,0
2,15.25,778,5,2.2,0
2,24.85,833,5,2.6,1
2,26.21,878,5,2.8,1
2,38.9,582,3,2.3,0
2,42.57,746,5,2.5,0
2,35.07,172,4,2.3,1
2,26.13,662,4,3.2,1
3,27.23,337,1,4.3,1
3,32.24,166,1,4.2,1
3,39.42,435,2,4.6,1
3,49.64,978,1,3.8,1
3,32.12,16,2,4.3,1
3,55.12,865,1,4.6,1
3,42.15,235,1,4.4,1
3,32.5,694,1,4.1,1
3,36.03,140,2,4.3,1
3,41.64,688,2,4.4,1
3,35.78,61,1,4.6,1
3,30.19,910,1,4.7,1
3,26.35,93,1,4.4,1
3,57.84,239,1,3.9,1
3,48.94,982,1,4.9,1
3,25.73,494,1,4.0,1
3,46.48,795,1,4.7,0
3,47.33,806,2,3.7,1
3,16.16,329,1,4.1,1
3,57.37,213,2,4.6,1
3,19.59,801,1,4.8,1
3,50.83,589,1,4.1,1
3,31.68,528,1,4.3,1
3,37.06,453,2,4.3,1
3,46.83,455,2,4.7,1
3,42.72,951,1,4.3,1
3,47.9,284,1,4.6,0
3,27.55,471,1,4.7,1
3,32.05,39,1,4.4,1
3,30.97,274,1,4.9,1
3,27.43,20,1,4.3,1
3,33.29,578,1,3.9,1
3,37.09,821,2,4.4,1
3,25.95,689,1,4.2,1
3,34.15,773,1,4.3,1
3,28.8,246,2,4.5,1
3,39.11,790,1,4.2,1
3,27.44,613,2,4.3,1
3,19.52,208,1,4.6,1
3,46.86,139,1,5.0,1
3,46.38,139,1,4.0,1
3,15.55,301,1,4.4,1
3,17.31,973,1,4.2,1
3,37.13,600,1,4.3,1
3,40.33,321,2,4.5,1
3,33.73,620,1,4.1,1
3,35.27,463,1,4.7,1
3,40.59,71,1,4.0,0
3,24.35,226,1,4.5,1
3,39.84,170,2,4.4,1
4,53.68,82,1,3.1,1
4,43.13,687,2,3.5,1
4,25.12,162,3,3.4,1
4,22.47,324,1,3.4,0
4,34.76,489,2,3.3,0
4,37.52,515,1,3.9,0
4,48.05,628,2,3.9,0
4,52.62,599,2,3.7,1
4,51.96,600,3,3.9,1
4,44.32,948,2,4.7,1
